id,image_src,shape,lens_width,gender,color,face_shape,skin,width,target
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1124OA001_1.jpg?v=1642644418,square,55,male,black,oval,light,56,
6.57E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0958O005_1.jpg?v=1620884597,square,52,female,black,oval,light,53,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0396O002_1.jpg?v=1625035074,square,56,female,gold,oval,light,57,
6.54E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027348_1.jpg?v=1614663567,square,58,male,gold,oval,light,59,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL259011_1.jpg?v=1693463723,cat-eye,50,female,black,oval,light,51,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028903_1.jpg?v=1625028315,cat-eye,52,female,black,oval,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926520_1.jpg?v=1625028667,cat-eye,52,female,black,oval,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926615_1_9a43ecd1-cb4c-4af3-b9bb-d32eba384b83.jpg?v=1603958540,cat-eye,53,female,black,oval,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026616_1.jpg?v=1625028872,cat-eye,51,female,black,oval,light,52,
5.32E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/JHN1984794_1.jpg?v=1603967588,cat-eye,52,female,gold,oval,light,53,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2100863_1.jpg?v=1627363005,cat-eye,54,female,brown,oval,light,55,
6.71E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2230806_1.jpg?v=1640299042,cat-eye,52,female,black,oval,light,53,
7.01E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/CAP2330502_1.jpg?v=1676354962,cat-eye,52,female,blue,oval,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927297_1.jpg?v=1603961455,aviator,55,female,black,oval,light,56,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027322_1.jpg?v=1678325725,aviator,52,male,black,oval,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027325_1.jpg?v=1678325757,aviator,57,male,gold,oval,light,58,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028916_1_a4efa15d-1c75-443a-b770-92293d17a42f.jpg?v=1603956904,aviator,51,male,black,oval,light,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028921_1.jpg?v=1603956933,aviator,53,male,black,oval,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926567_1.jpg?v=1625028748,aviator,56,male,gold,oval,light,57,
5.32E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/CBO1993051_1.jpg?v=1603959918,aviator,56,male,gold,oval,light,57,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026670_1.jpg?v=1627360210,aviator,55,male,gold,oval,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,square,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL532004_1.jpg?v=1693463927,round,53,male,black,square,light,54,
7.06E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1349O003_1.jpg?v=1674802099,round,53,male,gold,square,light,54,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1145O003_1.jpg?v=1665625175,round,54,female,gold,square,light,55,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SLM96001_1.jpg?v=1702266002,round,55,female,black,square,light,56,
